z,انگريزي حروف تھجي کا چھبيسواں حرف
zadkiel,رچرڈ جسميں موريسن کي جنتري جو اس نے فرضي نام سے شائع کي تھي
zaffre,کوبالٹ کا غير خالص اکسانڈ جس سے نيلا رنگ تيار کيا جاتا هے
zany,نقال ـ مسخره ـ بھانڈ
zaptieh,ضبطه ـ ترکي پوليس کا سپاپي
zariba,سوڈاني باڑا ـ مويشيوں کا احاطه
zeal,سر گر مي ـ جوش ـ ولوله ـ غصه
zealot,متعصب ـ تشدد پسند ـ کٹر ـ سرگرم
zealotry,سرگرمي ـ مجنونانه جوش
zealous,متعصب ـ تشدد پسند
zealously,سر گرمي سے
zealousness,جوش ـ ولوله
zebra,زيبرا
zebu,شرق الهند کا کويان دار بيل ـ سانڈ
zedoary,ايک گھاس کي خوشبودار جڑ
zelaian,نيوزي لينڈ کا باشنده
zeloso,موسيقي جوش کيساتھ
zemindar,زميندار
zemstvos,روس ميں ديهات کا انتظام کرنے والي مقامي مجلس
zenana,مکان کا زنانه حصه جو مردانے سے الگ هوتا هے
zenanamission,عيسائي مشن جس کي ارکان عورتوں کے پاس جا کر سماجي اور معاشرتي اصلاح کا اکام کرتي هيں
zend,زند اوستا ـ ايران کي قديم زبان
zenith,سمت الراس ـ نقطنه عروج
zeolite,ايک معد ني شے
zephyr,پچھوا هواـ نسيم ـ ورزش کرنے والوں کا باريک بنيان
zeppelin,جرمني کا هوائي جھاز
zero,صفر ـ خالي ـ کچھ نهيں
zest,سواد ـ مزه ـ ذائقه
zestful,خوش ذائقه
zetetic,تحقيقاتي ـ متلاشي ـ عارفانه
zeugma,قواعد صنعت حذف صفت يا حذف فعل
zeus,يونان کا سب سے بڑا ديوتا
zibet,ايک ايشيائي مشک بلاؤ
zigzag,ٹيڑھا ـ پر پيچ دار ـ پيچ دار بنانا
zinc,جست ـ جست قلعي ـ جست کي قلعي کرنا
zincic,جست کا
zinciferous,جھاں جست کي کان هو
zincify,جست شامل کرنا
zincky,جست کي طرح کا
zincograph,جست کي تختي جس پر نقوش يا حروف ابھرے هوں ـ جست کار
zincographer,جست کي تختي پر نقش وا نگار بنانے والا
zincography,جست کي نقاشي
zincous,جست کي طرح کا
zingaro,خانه بدوش ـ زنگارو
zinky,جست کا
zinnia,زينيا ـ ايک پودا
zion,يروشلم کي پهاڑي
zionism,يهوديوں کو فلسطين ميں آباد کرنے کا منصوبه ـ صيهونيت
zionist,يهوديوں کو پھر فلسطين ميں آباد کرنے کا حامي
zip,زپ ـ چستي ـ مستعدي
zipfastener,کسي بستے تھيلے کپڑے پر شگاف کو کھولنے اور بند کرنے کي زنجير
zircon,سنگ زرقون ـ ايک معدني شے
zirconium,سنگ زرقون
zither,تاروں کا ايک باجا ـ بربط يا ستار کي قسم کا
zloty,پولينڈ کا ايک سکه
zoar,پناه گاه ـ وه متبرک مقام جھاں پناه لينے کے بعد هر شخص کي جان محفوظ هوجاتي هے
zodiac,راس چکر
zodiacal,راس کا
zohar,رموز تصوف کي ايک کتاب
zoic,جانوروں کے متعلق
zoilesque,بيجا تنقيد کا ـ عرياں نگاري کا
zoilism,نامناسب تنقيد ـ فحش گوئي
zoilist,عرياں نگار
zollverein,رياستوں کا معاهده محصول
zonal,طبقوں ميں منقسم
zonary,پٹي وار ـ پٹکے کي شکل کا
zonate,جس ميں پٹياں يا دھارياں هوں ـ پٹي دار
zonated,پٹي دار
zone,پٹکا ـ پٹي ـ منطقه
zonular,طبقه واري ـ پيٹي کي طرح
zoo,چڑيا گھڑ
zoochemistry,حيواني کيميا
zoogeography,جغرافيته حيوانات
zoolarty,حيوان پرستي
zoologist,علم حيوانيات کا ماهر
zoology,علم حيوانيات
zoom,بول چال ميں طيارے کو سيدھا اوپر کو اڑانا ـ زوں زوں کي مسلسل آواز
zootheism,حيوانات کو ديوتا سمجھنا ـ حيوان پرستي
zoril,جنوبي امريکه کي لومڑي يا لومڑي سے ملتا هوا جنگلي گوشت خور چوپايه
zoroastrian,زرتشي ـ آتش پرست
zoroastrianism,زرتشت کے احکام و عقائد
zouave,فرانس کي اس فوج کا سپاهي جس ميں الجرائر کے بھادر بھرتي کيے جاتے تھے اور وه اپنا  قومي لباس هي پهنتے هيں
zounds,جوش غضب اور حيرت کا اظهار ـ لاحول ولا قوت ـ واللّٰه ـ اخوه
zucchetto,رومن کيتھولک پادريوں کي چست گول ٹوپي
zulu,زولو ـ جنوبي افريقه کي ايک قوم جو بنتو کي ايک شاخ هے اس قبيلے کا فرد يا زبان ـ ايک مخروطي شکل کي ٹوپي
zwieback,توس نما بسکٹ جو خوب سینکے ہوتے ہیں ۔
zwinglian,سوئيزرلينڈ کے مذهبي مصلح زوئنگلي کا پيرو ـ زوئنگلي کے متعلق
zygoma,رخسار کي هڈي
zygomatic,رخسار کي هڈي کا
zymosis,جراثيمي بيماري  ـ جراثيمي افزائش
zymotic,جراثيمي مرض کے متعلق ـ خارجي جراثيم  کا ـ تخميريٍ
